name,or_tools_cost
XML50_2152_16,1234197
XML50_2335_21,601011
XML50_3153_21,1312563
XML50_3334_16,931344
XML50_1225_10,504481
XML50_1222_19,820711
XML50_3234_02,1018318
XML50_3266_22,472009
XML50_1325_04,684618
XML50_1142_27,1283934
XML50_1325_10,679527
XML50_2235_21,462582
XML50_3234_16,891636
XML50_3366_22,672420
XML50_1225_04,534791
XML50_2152_02,1077152
XML50_3334_02,947127
XML50_1322_19,1256415
XML50_3261_17,1227151
XML50_1145_06,731127
XML50_3333_23,1070726
XML50_3154_14,971382
XML50_2332_14,1016084
XML50_2155_23,647784
XML50_2235_09,441302
XML50_3361_03,2895389
XML50_1222_25,967831
XML50_3361_17,2251337
XML50_2335_09,628722
XML50_3261_03,2398361
XML50_3153_09,1252939
XML50_1322_25,1335009
XML50_1145_12,668873
XML50_3233_23,1029084
XML50_2232_14,795001
XML50_3212_06,2013499
XML50_1351_20,1714540
XML50_1136_17,639137
XML50_2241_11,965702
XML50_3175_25,779131
XML50_3312_12,1827357
XML50_2246_18,391387
XML50_2174_12,782579
XML50_2313_25,753476
XML50_2341_05,1785763
XML50_2341_11,1473268
XML50_2126_26,676625
XML50_3312_06,1923553
XML50_1251_20,1241594
XML50_2174_06,705763
XML50_2241_05,612837
XML50_1164_23,831509
XML50_3212_12,1301854
XML50_1136_03,678902
XML50_2346_18,558037
XML50_2213_25,601135
XML50_2314_10,726050
XML50_2173_27,800292
XML50_3172_10,1615723
XML50_1256_01,301432
XML50_2121_07,1142090
XML50_2214_04,623185
XML50_1131_22,2604004
XML50_1356_15,529111
XML50_1251_08,1621370
XML50_3175_19,685476
XML50_1163_02,1025734
XML50_2313_19,766803
XML50_2246_24,431790
XML50_1163_16,1312452
XML50_2214_10,557226
XML50_1356_01,577455
XML50_1351_08,1914195
XML50_2213_19,677444
XML50_2121_13,1268892
XML50_2346_24,625927
XML50_2314_04,692828
XML50_3172_04,1820306
XML50_1256_15,497951
XML50_1152_22,1156926
XML50_1335_15,732409
XML50_3116_19,704400
XML50_1232_08,897849
XML50_3224_13,1000951
XML50_2225_24,543695
XML50_1235_01,621060
XML50_3111_10,3101679
XML50_3324_07,851261
XML50_2142_07,985617
XML50_3143_24,1327661
XML50_3324_13,884691
XML50_1332_08,1280665
XML50_2142_13,969994
XML50_2325_24,609496
XML50_1235_15,468862
XML50_3111_04,3054609
XML50_3224_07,1021351
XML50_1335_01,669591
XML50_3116_25,723348
XML50_3371_12,2628895
XML50_2225_18,512193
XML50_2322_05,943368
XML50_3144_05,1017788
XML50_1332_20,1453212
XML50_1155_17,602660
XML50_3271_06,2321755
XML50_2222_11,908877
XML50_3223_26,1052392
XML50_2222_05,748745
XML50_3143_18,1148054
XML50_1155_03,764880
XML50_3271_12,1597658
XML50_2325_18,670010
XML50_2322_11,839781
XML50_2145_26,687481
XML50_3323_26,1188911
XML50_3144_11,934542
XML50_1232_20,1233804
XML50_3371_06,2633700
XML50_1213_05,778944
XML50_2351_14,1567166
XML50_2136_23,605053
XML50_2164_03,685729
XML50_2256_09,462227
XML50_1241_25,1369329
XML50_1314_18,690286
XML50_1174_26,940778
XML50_1313_11,750629
XML50_1126_06,638017
XML50_2356_09,555961
XML50_1341_25,1394187
XML50_1126_12,657328
XML50_1214_18,662255
XML50_1313_05,1108467
XML50_2251_14,931400
XML50_2164_17,714429
XML50_3165_20,710485
XML50_1213_11,378343
XML50_3165_08,712934
XML50_1314_24,810644
XML50_1173_13,1102952
XML50_1241_19,2145138
XML50_1346_04,558030
XML50_2131_16,1364341
XML50_2356_21,566379
XML50_1246_10,363579
XML50_3162_01,1865276
XML50_1246_04,461578
XML50_3162_15,1640574
XML50_2163_22,942967
XML50_2131_02,1359831
XML50_1214_24,755855
XML50_1341_19,1110642
XML50_1121_27,1581845
XML50_1346_10,615256
XML50_2256_21,442244
XML50_1173_07,1000322
XML50_2112_22,1142705
XML50_2375_15,620565
XML50_3113_15,1270269
XML50_3374_22,891297
XML50_3326_02,664185
XML50_1265_24,400178
XML50_2272_08,903048
XML50_2275_01,467507
XML50_3226_16,555787
XML50_3226_02,577635
XML50_1365_24,677744
XML50_3114_08,969393
XML50_2372_08,907175
