name,or_tools_cost
XML1000_1221_22,
XML1000_3362_10,
XML1000_1273_16,
XML1000_2331_07,
XML1000_3262_04,
XML1000_1146_15,5955462.0
XML1000_1321_22,
XML1000_3365_19,
XML1000_1373_02,
XML1000_2231_13,
XML1000_3211_01,
XML1000_1135_10,5955591.0
XML1000_1352_27,
XML1000_2242_16,
XML1000_3243_21,
XML1000_3311_15,
XML1000_3176_22,7543795.0
XML1000_2342_02,
XML1000_3124_02,
XML1000_1132_19,
XML1000_3216_08,4908165.0
XML1000_2125_21,
XML1000_2342_16,
XML1000_3124_16,
XML1000_3343_21,
XML1000_3311_01,
XML1000_1252_27,
XML1000_2242_02,
XML1000_3316_08,6232557.0
XML1000_3211_15,
XML1000_1135_04,6873792.0
XML1000_3171_17,
XML1000_3316_20,7023355.0
XML1000_1255_06,
XML1000_2125_09,7154992.0
XML1000_3343_09,
XML1000_1355_12,7847704.0
XML1000_1132_25,
XML1000_3244_14,
XML1000_2245_23,
XML1000_3216_20,5282933.0
XML1000_1355_06,
XML1000_3344_14,
XML1000_3123_23,
XML1000_2345_23,
XML1000_2122_14,
XML1000_3171_03,
XML1000_1255_12,
XML1000_3243_09,
XML1000_1355_07,6487837.0
XML1000_3216_21,3971494.0
XML1000_3244_01,
XML1000_3243_08,
XML1000_1255_13,6386236.0
XML1000_3171_02,
XML1000_2122_15,
XML1000_2345_22,6935346.0
XML1000_3123_22,
XML1000_3344_15,
XML1000_2122_01,
XML1000_3344_01,
XML1000_1255_07,
XML1000_3316_21,8442905.0
XML1000_3171_16,
XML1000_2245_22,6038243.0
XML1000_3244_15,
XML1000_1132_24,
XML1000_1355_13,
XML1000_3343_08,
XML1000_2125_08,6369698.0
XML1000_1252_26,
XML1000_3343_20,
XML1000_3124_17,
XML1000_2342_17,
XML1000_2125_20,5983922.0
XML1000_1135_05,
XML1000_3211_14,
XML1000_3316_09,6991102.0
XML1000_2242_03,
XML1000_3243_20,
XML1000_2242_17,
XML1000_1352_26,
XML1000_1135_11,
XML1000_3216_09,6601785.0
XML1000_1132_18,
XML1000_3124_03,
XML1000_2342_03,
XML1000_3176_23,6439458.0
XML1000_3311_14,
XML1000_2331_06,
XML1000_1273_17,
XML1000_3362_11,
XML1000_2363_26,
XML1000_2231_12,
XML1000_1373_03,
XML1000_3365_18,
XML1000_1321_23,
XML1000_1146_14,6129045.0
XML1000_3262_05,
XML1000_3262_11,
XML1000_2263_26,
XML1000_2231_06,
XML1000_1114_20,
XML1000_1373_17,
XML1000_1221_23,
XML1000_3362_05,
XML1000_2331_12,
XML1000_2156_25,4336277.0
XML1000_3265_18,
XML1000_1273_03,
XML1000_1141_09,
XML1000_1113_01,
XML1000_2264_07,
XML1000_1141_21,
XML1000_1326_16,5282259.0
XML1000_1274_22,
XML1000_2151_04,
XML1000_2364_13,
XML1000_1226_02,4078463.0
XML1000_1114_08,
XML1000_3365_24,
XML1000_2364_07,
XML1000_1226_16,3859252.0
XML1000_2151_10,
XML1000_2264_13,
XML1000_2156_19,4234294.0
XML1000_1326_02,6175913.0
XML1000_3265_24,
XML1000_1374_22,
XML1000_1113_15,
XML1000_3354_04,
XML1000_2132_04,
XML1000_3161_13,
XML1000_3253_19,
XML1000_1245_02,9415736.0
XML1000_3254_10,
XML1000_1122_21,
XML1000_1345_16,7360778.0
XML1000_2135_19,5704803.0
XML1000_1345_02,7215083.0
XML1000_3353_19,
XML1000_3254_04,
XML1000_3161_07,
XML1000_1245_16,
XML1000_3354_10,
XML1000_2132_10,
XML1000_2252_12,
XML1000_3253_25,
XML1000_1342_23,
XML1000_1125_14,7423026.0
XML1000_2352_06,
XML1000_3134_06,
XML1000_3166_26,6434198.0
XML1000_1242_23,
XML1000_2352_12,
XML1000_2135_25,
XML1000_1122_09,
XML1000_3353_25,
XML1000_3134_12,
XML1000_2252_06,
XML1000_2273_23,
XML1000_3272_14,
XML1000_1156_05,6214738.0
XML1000_1363_12,
XML1000_3375_09,
XML1000_2113_09,
XML1000_2221_03,
XML1000_1231_26,
XML1000_1263_06,
XML1000_2321_17,
XML1000_2146_20,5633404.0
XML1000_1151_18,
XML1000_3275_09,
XML1000_1263_12,
XML1000_2321_03,
XML1000_2114_14,
XML1000_2373_23,
XML1000_3115_23,9491859.0
XML1000_3372_14,
XML1000_1363_06,
XML1000_2221_17,
XML1000_1331_26,
XML1000_1156_11,6194563.0
XML1000_3112_02,
XML1000_1236_13,5560637.0
XML1000_2374_02,
XML1000_2141_15,
XML1000_2326_22,4296222.0
XML1000_3275_21,
XML1000_1336_07,6826504.0
XML1000_2274_16,
XML1000_1364_27,
XML1000_2226_22,3912888.0
XML1000_1151_24,
XML1000_1336_13,4790468.0
XML1000_2146_08,4846624.0
XML1000_2274_02,
XML1000_2141_01,
XML1000_1264_27,
XML1000_3375_21,10477207.0
XML1000_3112_16,
XML1000_1236_07,4374302.0
XML1000_2374_16,
XML1000_2113_21,
XML1000_1172_04,
XML1000_3256_15,5640500.0
XML1000_3351_08,
XML1000_1215_27,5137677.0
XML1000_3356_01,6171209.0
XML1000_2162_21,
XML1000_3163_16,
XML1000_3251_08,
XML1000_3163_02,
XML1000_1175_19,
XML1000_3356_15,5917383.0
XML1000_3131_22,
XML1000_1172_10,
XML1000_1315_27,8898694.0
XML1000_3256_01,6136313.0
XML1000_1212_12,
XML1000_3136_03,5954120.0
XML1000_3164_23,
XML1000_2165_14,
XML1000_1312_06,
XML1000_3251_20,
XML1000_2162_09,
XML1000_1312_12,
XML1000_1175_25,
XML1000_1212_06,
XML1000_3136_17,6744832.0
XML1000_3351_20,
XML1000_2116_05,5363927.0
XML1000_1233_23,
XML1000_1261_03,
XML1000_3145_12,
XML1000_3322_25,
XML1000_1153_09,
XML1000_2144_25,
XML1000_2323_12,
XML1000_2271_26,
XML1000_1361_17,
XML1000_2223_06,
XML1000_1361_03,
XML1000_3222_25,
XML1000_2223_12,
XML1000_2111_18,
XML1000_1154_14,
XML1000_1333_23,
XML1000_1261_17,
XML1000_3145_06,10492814.0
