name,or_tools_cost
XML100_2235_25,753714
XML100_1222_09,1197418
XML100_3234_12,1361431
XML100_1142_23,2356674
XML100_1325_14,957704
XML100_2152_06,1903682
XML100_3334_06,1482189
XML100_3366_26,1047777
XML100_1225_14,702403
XML100_2152_12,1683796
XML100_2335_25,867383
XML100_3153_25,2571444
XML100_3334_12,1510894
XML100_1322_09,2044759
XML100_3266_26,764823
XML100_3234_06,1395656
XML100_3154_04,1553843
XML100_2332_04,1539118
XML100_2235_19,551013
XML100_3361_13,3901711
XML100_2232_10,1462528
XML100_1322_21,1749535
XML100_1145_16,1320650
XML100_3261_07,4775694
XML100_2335_19,957626
XML100_3153_19,2447326
XML100_1145_02,1241305
XML100_3261_13,4512478
XML100_2232_04,1682719
XML100_1222_21,1973915
XML100_3361_07,2902378
XML100_3154_10,1652223
XML100_2332_10,1856905
XML100_2155_27,1046503
XML100_1251_24,3548087
XML100_3312_02,3766714
XML100_2174_02,1169366
XML100_2246_08,573839
XML100_2341_15,2283947
XML100_2126_22,871863
XML100_1136_07,946914
XML100_3212_16,3232723
XML100_2213_21,757112
XML100_2241_01,2423920
XML100_1164_27,1323532
XML100_2241_15,2519881
XML100_1351_24,2458213
XML100_1136_13,886418
XML100_3212_02,2792992
XML100_2346_08,896324
XML100_2341_01,2102239
XML100_3175_21,1347375
XML100_3312_16,3318246
XML100_2174_16,1149803
XML100_2313_21,1269971
XML100_2214_14,848294
XML100_1356_05,851052
XML100_3215_23,1032513
XML100_3175_09,1235935
XML100_1163_12,1406162
XML100_1251_18,2558162
XML100_2313_09,1401288
XML100_1256_11,699685
XML100_2121_17,2323917
XML100_2346_20,779273
XML100_1351_18,4152608
XML100_2121_03,2481438
XML100_2213_09,1514852
XML100_2314_14,1248612
XML100_2173_23,1352623
XML100_1256_05,796770
XML100_3315_23,1318565
XML100_3172_14,3689336
XML100_1163_06,1764255
XML100_2246_20,681421
XML100_1131_26,2928948
XML100_1356_11,856114
XML100_1235_11,987665
XML100_3143_20,2395048
XML100_3324_17,1690571
XML100_2142_17,2009223
XML100_2325_20,991912
XML100_3276_23,682682
XML100_1335_05,1067101
XML100_1232_18,1932407
XML100_3224_03,1462369
XML100_3116_09,1033994
XML100_3224_17,1422621
XML100_2225_20,778531
