name,or_tools_cost
XML500_1265_21,4270657.0
XML500_3326_07,3257673.0
XML500_2112_27,
XML500_2375_10,4568402.0
XML500_3113_10,9019175.0
XML500_3114_19,8015442.0
XML500_3226_13,3363500.0
XML500_2372_19,
XML500_2275_04,3163899.0
XML500_2275_10,3284333.0
XML500_1365_21,4251634.0
XML500_3226_07,4319161.0
XML500_2375_04,3770842.0
XML500_3113_04,9088370.0
XML500_3326_13,5133368.0
XML500_3141_24,
XML500_2272_19,
XML500_3221_26,
XML500_3273_06,
XML500_1262_14,
XML500_3146_05,5188438.0
XML500_3373_12,8970534.0
XML500_3114_25,7613923.0
XML500_1365_09,4977444.0
XML500_2372_25,
XML500_2115_12,3656290.0
XML500_3373_06,7866813.0
XML500_2115_06,3444713.0
XML500_3146_11,4489144.0
XML500_3321_26,
XML500_3141_18,
XML500_1265_09,4246832.0
XML500_3273_12,9044625.0
XML500_2272_25,
XML500_1362_14,
XML500_1124_06,5010253.0
XML500_1311_11,
XML500_1176_26,3377709.0
XML500_2166_03,2914717.0
XML500_2254_09,3995569.0
XML500_1243_25,
XML500_1316_18,2743092.0
XML500_1211_05,
XML500_3135_14,5969742.0
XML500_3352_23,
XML500_2134_23,4216439.0
XML500_2353_14,
XML500_1211_11,
XML500_2166_17,3121831.0
XML500_1311_05,
XML500_3252_23,
XML500_2253_14,
XML500_2354_09,4740302.0
XML500_3132_09,
XML500_1124_12,5338266.0
XML500_1343_25,
XML500_1216_18,4004575.0
XML500_1244_10,7275280.0
XML500_2354_21,4006807.0
XML500_2133_16,
XML500_3355_16,5728411.0
XML500_3132_21,
XML500_1344_04,6232878.0
XML500_1171_13,
XML500_1316_24,2854273.0
XML500_1243_19,
XML500_3255_02,4905901.0
XML500_2254_21,4132006.0
XML500_1171_07,
XML500_3255_16,4460942.0
XML500_1344_10,4983458.0
XML500_1123_27,
XML500_2133_02,5625959.0
XML500_1216_24,1836156.0
XML500_3355_02,4637225.0
XML500_1343_19,5816058.0
XML500_1244_04,6229188.0
XML500_2161_22,
XML500_3264_22,7638370.0
XML500_2265_15,3637957.0
XML500_2362_08,
XML500_3236_02,3205881.0
XML500_1112_13,
XML500_1375_24,3741264.0
XML500_2365_01,3528687.0
XML500_3336_16,3363268.0
XML500_3151_21,
XML500_2262_08,
XML500_3336_02,3452643.0
XML500_1275_24,3143520.0
XML500_3364_22,8560828.0
XML500_2365_15,4221257.0
XML500_3236_16,3132340.0
XML500_1112_07,
XML500_2265_01,3138189.0
XML500_3363_03,
XML500_1375_18,4985479.0
XML500_3156_14,3476541.0
XML500_3331_23,
XML500_1272_05,
XML500_2262_20,
XML500_3263_17,
XML500_1372_11,
XML500_1115_26,3695372.0
XML500_3231_23,
XML500_1372_05,
XML500_1275_18,2087058.0
XML500_3263_03,9301845.0
XML500_3151_09,
XML500_1272_11,
XML500_2362_20,
XML500_3363_17,
XML500_2343_05,
XML500_3125_05,5172870.0
XML500_2244_18,4141387.0
XML500_2311_25,
XML500_2176_12,2875207.0
XML500_2243_11,5385954.0
XML500_3242_26,
XML500_1134_17,6394332.0
XML500_1353_20,5011257.0
XML500_3122_18,
XML500_1134_03,4996050.0
XML500_2344_18,4587433.0
XML500_2211_25,
XML500_2243_05,
XML500_1166_23,3718161.0
XML500_1253_20,
XML500_2176_06,2752723.0
XML500_2124_26,4520716.0
XML500_2343_11,5896004.0
XML500_3125_11,5418710.0
XML500_3342_26,
XML500_1253_08,
XML500_3245_13,4475598.0
XML500_1161_02,
XML500_2311_19,
XML500_2244_24,4183588.0
XML500_2216_04,1661886.0
XML500_1354_15,5184125.0
XML500_1133_22,6910177.0
XML500_3345_07,5921128.0
XML500_2123_07,5603479.0
XML500_2171_27,
XML500_2316_10,2539868.0
XML500_1254_01,4845927.0
XML500_2316_04,2401266.0
XML500_1254_15,3898687.0
XML500_3345_13,7459891.0
XML500_3122_24,
XML500_1353_08,5199460.0
XML500_2211_19,
XML500_2344_24,5291394.0
XML500_2123_13,5577350.0
XML500_2216_10,2695860.0
XML500_1354_01,6436361.0
XML500_3245_07,4938201.0
XML500_1161_16,
XML500_1225_15,3577125.0
XML500_2152_13,
XML500_2335_24,3482912.0
XML500_1322_08,
XML500_3153_24,
XML500_3334_13,6887461.0
XML500_1325_01,3954144.0
XML500_3234_07,4484235.0
XML500_2235_24,2934072.0
XML500_3234_13,6470626.0
XML500_1222_08,
XML500_1142_22,
XML500_1325_15,4214409.0
XML500_2152_07,
XML500_3334_07,7800961.0
XML500_1225_01,2683908.0
XML500_2335_18,3707622.0
XML500_1145_03,3920481.0
XML500_3153_18,8108375.0
XML500_3261_12,
XML500_2232_05,
XML500_1222_20,
XML500_3361_06,
XML500_3333_26,
XML500_3154_11,7435555.0
XML500_2332_11,
XML500_2155_26,4059453.0
XML500_3154_05,8170868.0
XML500_2332_05,
XML500_2235_18,2834987.0
XML500_3361_12,
XML500_3233_26,7227819.0
XML500_2232_11,
XML500_1322_20,
XML500_1145_17,3924453.0
XML500_3261_06,
XML500_2241_14,
XML500_1351_25,
XML500_1136_12,2947777.0
XML500_3212_03,
XML500_2346_09,2708731.0
XML500_3175_20,6849697.0
XML500_3312_17,
XML500_2174_17,4749051.0
XML500_2313_20,5039835.0
XML500_1251_25,
XML500_3312_03,
XML500_2174_03,5332705.0
XML500_2246_09,2430831.0
XML500_2341_14,
XML500_2126_23,2984742.0
XML500_1136_06,3161311.0
XML500_3212_17,
XML500_2213_20,4471314.0
XML500_1164_26,7547778.0
XML500_1351_19,
XML500_2121_02,
XML500_2213_08,3914423.0
XML500_2314_15,4504306.0
XML500_2173_22,
XML500_1256_04,1970666.0
XML500_3315_22,6615203.0
XML500_3172_15,
XML500_1163_07,9653966.0
XML500_2246_21,2580435.0
XML500_2214_01,2092139.0
XML500_1131_27,
XML500_1356_10,2688533.0
XML500_2214_15,4228302.0
XML500_1356_04,2984612.0
XML500_3215_22,5231460.0
XML500_1163_13,7618862.0
XML500_3175_08,6784365.0
XML500_1251_19,
XML500_2313_08,
XML500_2314_01,4660438.0
XML500_1256_10,2892248.0
XML500_3172_01,
XML500_2121_16,
XML500_2346_21,2917349.0
XML500_3224_16,6129635.0
XML500_2225_21,3117558.0
XML500_1152_27,
XML500_1335_10,3685272.0
XML500_1332_19,
XML500_3324_02,6688250.0
XML500_2142_02,
XML500_3376_22,4564135.0
XML500_3111_15,
XML500_1235_04,4804951.0
XML500_3111_01,
XML500_1235_10,2764746.0
XML500_3143_21,
XML500_3324_16,7460470.0
XML500_2142_16,
XML500_2325_21,3228091.0
XML500_3276_22,4201226.0
XML500_1335_04,3894652.0
XML500_3224_02,6337070.0
XML500_1232_19,
XML500_3116_08,4564620.0
XML500_3116_20,3584021.0
XML500_3371_17,
XML500_2222_14,
XML500_3223_23,
XML500_3271_03,
XML500_1332_25,
XML500_1155_12,4756558.0
XML500_3143_09,
XML500_2325_09,3317546.0
XML500_3271_17,
XML500_1155_06,3535515.0
XML500_3371_03,
XML500_1232_25,
XML500_2225_09,2792248.0
XML500_2322_14,
XML500_2145_23,3895086.0
XML500_3323_23,
XML500_3144_14,8980164.0
XML500_2164_06,5606065.0
XML500_1241_20,
XML500_2351_11,
XML500_2136_26,2442926.0
XML500_2356_18,2806113.0
XML500_1214_09,5206629.0
XML500_1126_03,4026947.0
XML500_1174_23,5713382.0
XML500_1313_14,
XML500_2251_05,
XML500_2251_11,
XML500_1341_20,
XML500_1126_17,3503206.0
XML500_1213_14,5470453.0
XML500_2351_05,
XML500_2256_18,2294295.0
XML500_2164_12,5861851.0
XML500_1314_09,4805609.0
XML500_3165_25,7006092.0
XML500_1346_01,4603352.0
XML500_1314_21,6049315.0
XML500_1173_16,
XML500_3162_04,
XML500_1246_15,3345615.0
XML500_2131_13,
XML500_2356_24,2811539.0
XML500_1341_08,
XML500_2131_07,
XML500_1214_21,4110121.0
XML500_3162_10,
XML500_1246_01,2002613.0
XML500_2163_27,
XML500_2256_24,3024772.0
XML500_1241_08,
XML500_1173_02,7880896.0
XML500_3165_19,6354917.0
XML500_1121_22,
XML500_1346_15,3091335.0
XML500_2163_26,6196129.0
XML500_3162_11,
XML500_1214_20,3715674.0
XML500_2131_06,
XML500_1346_14,3378657.0
XML500_1121_23,
XML500_3165_18,6476061.0
XML500_1173_03,
XML500_1241_09,
XML500_2256_25,2025016.0
XML500_1173_17,
XML500_1314_20,5979261.0
XML500_1341_09,
XML500_2356_25,2700575.0
XML500_2131_12,
XML500_1246_14,2509090.0
XML500_3162_05,
XML500_1126_16,3242251.0
XML500_1341_21,
XML500_2251_10,
XML500_1313_01,
XML500_3165_24,5254958.0
XML500_1314_08,4967361.0
XML500_2164_13,5495938.0
XML500_2256_19,2343338.0
XML500_2351_04,
XML500_1213_15,
XML500_2136_27,2402502.0
XML500_2351_10,
XML500_1213_01,5505704.0
XML500_1241_21,
XML500_2164_07,5456767.0
XML500_2251_04,
XML500_1313_15,
XML500_1174_22,7484340.0
XML500_1126_02,3381646.0
XML500_1214_08,4137354.0
XML500_2356_19,2510852.0
XML500_2222_01,
XML500_1155_07,4921682.0
XML500_3271_16,
XML500_3144_15,8282574.0
XML500_3323_22,8758627.0
XML500_2145_22,4635382.0
XML500_2322_15,
XML500_2225_08,3513422.0
XML500_1232_24,
XML500_3371_02,
XML500_3371_16,
XML500_3116_21,4359515.0
XML500_3144_01,8385750.0
XML500_2322_01,
XML500_2325_08,3755734.0
XML500_3143_08,9847948.0
XML500_1155_13,4748222.0
XML500_1332_24,
XML500_3271_02,
XML500_3223_22,
XML500_2222_15,
XML500_2325_20,3697873.0
XML500_2142_17,
XML500_3324_17,6744846.0
XML500_3143_20,
XML500_1235_11,3598078.0
XML500_3116_09,3741929.0
XML500_1232_18,
XML500_3224_03,6539863.0
XML500_1335_05,4708895.0
XML500_3276_23,2568894.0
XML500_1335_11,4261856.0
XML500_1152_26,
XML500_2225_20,3063767.0
