name,opt_sol,or_tools_cost_1,or_tools_cost_30,or_tools_cost_60
XML100_3273_03,15287,15861,15548,15509
XML100_3333_13,18047,19021,18753,18652
XML100_2341_19,22339,23598,22885,22748
XML100_3352_03,27831,28540,28399,28167
XML100_1272_25,14990,16688,15329,15329
XML100_1265_03,5955,6510,6190,6190
XML100_1153_06,14046,14998,14609,14609
XML100_1315_12,8758,9141,8832,8832
XML100_2165_27,9150,9738,9224,9224
XML100_2373_11,10838,12185,10990,10971
XML100_3213_18,19289,19921,19534,19453
XML100_3243_24,16339,17308,16676,16463
XML100_1162_12,28753,30193,29966,29723
XML100_1323_03,13700,15202,14475,14150
XML100_3253_11,17492,18434,18153,18153
XML100_3116_07,9795,10053,9915,9915
XML100_1246_19,5706,5885,5766,5734
XML100_2153_08,11270,12099,11361,11356
XML100_3264_24,7652,7861,7754,7748
XML100_1371_09,28683,29087,28934,28934
XML100_2236_15,5736,5850,5778,5778
XML100_2136_10,8436,8953,8506,8506
XML100_1343_20,18146,19316,18724,18724
XML100_2353_22,12479,13733,12500,12500
XML100_2213_22,12500,13056,12844,12682
XML100_2261_21,22407,26108,23098,23098
XML100_3121_20,45767,48677,47792,46611
XML100_1233_03,11181,12358,11927,11874
XML100_3322_16,29372,32831,30558,30379
XML100_2223_20,11361,12267,11607,11606
XML100_1344_17,11394,12414,11473,11473
XML100_3264_10,14136,14572,14317,14317
XML100_3131_17,38551,40488,39697,39135
XML100_2114_06,10282,10718,10419,10409
XML100_2176_18,8636,9230,8731,8673
XML100_1225_17,7867,7959,7874,7874
XML100_3171_25,36192,37579,37296,37296
XML100_3252_25,32173,33123,32884,32869
XML100_3155_01,12490,13838,13018,13018
XML100_3125_15,14739,15505,15034,15034
XML100_1374_10,12411,12527,12512,12512
XML100_1313_11,16114,17381,17159,16678
XML100_1165_01,9469,10380,9621,9621
XML100_1252_05,15197,15729,15529,15391
XML100_2144_04,10280,11209,10459,10297
XML100_2366_15,7374,7517,7396,7396
XML100_3352_21,23008,24250,23768,23554
XML100_1212_07,20861,21215,21191,21107
XML100_3256_11,6677,7014,6765,6680
XML100_3265_18,9423,9695,9490,9490
XML100_1221_25,38020,38984,38905,38672
XML100_3364_08,13219,14095,13349,13349
XML100_2356_10,8148,8882,8370,8365
XML100_3121_01,52813,54424,54378,54378
XML100_2131_16,23269,24664,24558,24123
XML100_2245_23,6542,6708,6586,6586
XML100_3175_02,11307,11688,11514,11448
XML100_1125_12,9269,10205,9464,9322
XML100_3345_09,11791,12655,12548,12208
XML100_2265_02,6968,7375,7124,7052
XML100_2364_10,10305,10717,10549,10467
XML100_2231_24,21100,21886,21653,21653
XML100_1243_01,15597,16630,16321,16319
XML100_2361_21,28448,29704,28911,28745
XML100_2115_15,9907,10301,10094,10020
XML100_1172_06,17963,18976,18365,18365
XML100_2233_12,12289,12863,12609,12609
XML100_3143_22,17875,19157,17969,17969
XML100_3233_02,19770,20165,19985,19985
XML100_3172_08,37080,38481,37770,37770
XML100_2361_20,19506,22758,20007,19823
XML100_1245_27,5774,6024,5799,5799
XML100_3124_09,16261,18250,16593,16593
XML100_3252_16,24266,25596,25029,24967
XML100_3353_12,20017,20533,20264,20235
XML100_3325_05,11594,12041,11848,11811
XML100_3236_11,9032,9479,9211,9184
XML100_2162_27,17901,19430,18540,18540
XML100_1266_27,6576,6612,6605,6591
XML100_1131_19,30007,31604,30951,30927
XML100_3116_16,9850,10245,10068,9996
XML100_1364_17,11549,12047,11710,11710
XML100_3275_01,12510,12996,12960,12960
XML100_3226_04,7777,8014,7893,7775
XML100_3142_22,24612,25784,25617,25430
XML100_3163_07,19090,20558,19817,19758
XML100_3144_14,16891,17792,17694,17268
XML100_3335_06,12801,13452,12998,12998
XML100_2251_16,23651,24783,24415,24189
XML100_2245_09,7123,7285,7131,7131
XML100_1242_11,23822,24967,24846,24550
XML100_3113_23,18617,19159,18823,18823
XML100_3226_19,6436,6892,6525,6525
XML100_3132_26,30046,31703,31308,31185
XML100_1364_26,10864,11860,11239,11107
XML100_1341_11,31929,33392,33392,32926
XML100_2212_27,17023,17622,17614,17614
XML100_1273_02,12072,13060,12302,12302
XML100_3126_05,9797,10273,9939,9910
XML100_2253_24,8763,9439,9140,9001
XML100_2133_19,11871,12460,12324,11958
XML100_3136_25,9945,10490,10091,10039
XML100_2244_24,9364,9824,9486,9455
XML100_2265_14,6774,7230,6865,6840
XML100_3171_19,57981,59110,58456,58071
XML100_2325_05,9221,9447,9349,9344
XML100_2235_18,6835,7006,6860,6860
XML100_3143_25,22384,23643,23144,23144
XML100_3271_15,55366,56810,56737,56737
XML100_1352_03,26312,27543,27347,27246
XML100_3354_03,16202,17855,16774,16774
XML100_1165_02,10889,11830,11426,11362
XML100_1213_04,15466,15970,15892,15892
XML100_1374_14,12215,13606,12679,12628
XML100_2351_24,25022,25862,25805,25791
XML100_2136_20,8143,8771,8504,8220
XML100_1134_16,11636,12875,11892,11879
XML100_3126_16,9610,10646,9902,9872
XML100_1364_18,10125,10674,10368,10318
XML100_1351_06,30767,31688,31589,31589
XML100_3273_10,14060,14555,14396,14396
XML100_3264_15,16192,17031,16405,16405
XML100_1313_01,16868,17694,17353,17197
XML100_1231_07,29986,31207,30729,30604
XML100_1121_15,26237,29113,27008,27008
XML100_3343_13,21163,22148,21896,21896
XML100_3132_07,24006,25070,24850,24680
XML100_3256_01,6786,7040,6858,6858
XML100_3133_14,18580,19542,19121,18985
XML100_3355_04,10547,11721,10858,10858
XML100_1375_17,8932,9651,9128,8989
XML100_2144_19,10495,11105,10837,10682
XML100_3175_13,11034,11992,11953,11066
XML100_2153_05,12078,12996,12717,12381
XML100_2242_17,17477,17931,17778,17727
XML100_3114_24,15314,16121,15926,15886
XML100_1372_24,23725,24714,24399,24399
XML100_1356_11,7799,8342,7979,7949
XML100_2366_13,7513,7956,7589,7585
XML100_3112_17,28146,29482,28927,28927
XML100_3255_09,11539,11879,11637,11637
XML100_1243_26,16295,17050,16957,16837
XML100_2176_23,8099,8883,8379,8379
XML100_3351_12,64957,67366,66696,65858
XML100_1163_25,15665,17256,16335,16023
XML100_3341_03,49685,51758,51167,51167
XML100_2162_13,16780,17386,17386,17171
XML100_2114_05,11567,12110,11695,11695
XML100_1124_05,11587,12591,12070,11845
XML100_3142_08,31774,34161,33073,33073
XML100_3131_24,55768,58118,58109,56973
XML100_1174_12,12242,13415,12914,12878
XML100_3272_09,40345,41039,40635,40471
XML100_3332_12,23843,25093,24861,24717
XML100_2241_15,22160,24375,22976,22954
XML100_1146_02,9741,9822,9820,9741
XML100_3314_11,16350,16824,16798,16684
XML100_3155_20,12117,12787,12326,12326
XML100_3351_21,55880,58859,57178,57113
XML100_2124_06,11417,11861,11817,11817
XML100_3356_08,8519,8635,8561,8555
XML100_3164_09,15673,17024,16507,16478
XML100_3134_10,16413,18342,16963,16963
XML100_1111_19,22660,22971,22971,22971
XML100_2316_25,8026,8422,8233,8062
XML100_1274_08,12023,14860,12599,12470
XML100_3172_21,34438,36459,35649,35446
XML100_1326_12,8561,8916,8752,8752
XML100_3364_22,15411,16591,16117,15685
XML100_1342_20,18784,19569,19062,19062
XML100_1142_14,18221,21844,18827,18827
XML100_3316_08,9380,9800,9491,9477
XML100_2175_04,9018,10103,9024,9024
XML100_3325_08,12500,13123,12786,12786
XML100_2276_01,6422,6883,6482,6482
XML100_3364_03,15091,16233,15653,15652
XML100_1343_07,12915,14220,13174,12997
XML100_3343_26,18358,19465,18688,18610
XML100_1211_18,27128,27334,27325,27284
XML100_1275_09,11309,11674,11361,11361
XML100_1363_03,12851,14813,13514,13181
XML100_1331_16,24443,25281,25280,25272
XML100_3154_12,15632,16997,16289,16168
XML100_3233_21,24768,25272,25174,25174
XML100_2212_21,17975,18417,18192,18167
XML100_3212_13,27390,27926,27479,27479
XML100_1111_26,37676,38312,38255,38255
XML100_3152_06,32721,34340,34066,34066
XML100_2112_04,16303,16720,16616,16616
XML100_1266_08,6318,6418,6376,6355
XML100_2242_26,14428,15185,14988,14988
XML100_3275_04,14075,14341,14305,14101
XML100_1212_26,22161,22711,22548,22348
XML100_2255_17,6785,6948,6806,6806
XML100_2242_08,14910,15960,15292,15135
XML100_3326_23,9821,10757,9904,9904
XML100_1321_19,20029,22822,20544,20544
XML100_1211_11,45446,45602,45557,45557
XML100_2174_17,10092,11082,10217,10144
XML100_3153_01,21471,22267,21988,21892
XML100_2243_15,10865,11117,10970,10956
XML100_3174_11,14443,15544,14830,14836
XML100_2131_08,26486,27304,27160,27160
XML100_1242_14,19457,20493,19951,19951
XML100_1213_01,11495,12102,11640,11600
XML100_3236_15,7714,7991,7711,7711
XML100_1145_21,11484,12411,11883,11608
XML100_1166_24,8476,8519,8505,8505
XML100_2361_13,26735,29751,27462,27462
XML100_2321_21,19309,20749,20294,20039
XML100_1223_22,10944,11919,11613,11474
XML100_3362_06,28538,30929,29955,29543
XML100_2324_11,9914,10383,10066,9927
XML100_3273_06,14530,15881,14861,14845
XML100_1315_18,10813,11636,10918,10918
XML100_2121_15,25115,26214,26189,26189
XML100_1252_24,18734,19437,19207,19195
XML100_2251_20,29284,30063,29942,29899
XML100_3311_01,56968,57585,57574,57311
XML100_3336_10,8961,9412,9070,9030
XML100_2361_14,28425,29120,29120,29120
XML100_3145_21,11719,12761,12389,12110
XML100_2314_18,11370,12155,11468,11451
XML100_3236_23,4565,4991,4942,4942
XML100_3121_14,46150,48806,47819,47620
XML100_1342_02,24562,26048,25978,25404
XML100_2245_01,5215,5545,5309,5273
XML100_2356_01,8100,8443,8281,8260
XML100_3234_09,12864,13352,13059,13059
XML100_2342_02,18573,19185,18923,18923
XML100_1154_15,12234,13108,12920,12920
XML100_3342_12,27505,29644,29209,28534
XML100_2245_18,6569,7131,6627,6627
XML100_1341_13,47374,49449,48903,48296
XML100_3345_06,13534,14417,13912,13810
XML100_1164_17,13548,15056,14476,14125
XML100_2134_12,10667,11853,10999,10810
XML100_1351_26,39138,40965,40098,40098
XML100_2136_14,8095,8343,8238,8238
XML100_1114_16,12005,12620,12208,12169
XML100_1274_20,8116,9069,8235,8233
XML100_1134_02,12731,13242,12859,12859
XML100_3164_04,16354,17781,17046,16982
XML100_2144_18,10966,13146,11825,11144
XML100_2172_01,16588,17096,16701,16701
XML100_3155_16,13025,14147,13213,13213
XML100_3223_14,20965,21953,21827,21618
XML100_3245_06,11111,11801,11177,11159
XML100_2333_11,10725,11780,10737,10737
XML100_2266_25,5778,5927,5895,5837
XML100_1145_11,9320,10110,9638,9607
XML100_3333_11,17919,19287,19062,18898
XML100_3343_08,23265,24845,24051,24051
XML100_3354_15,18187,19541,18824,18721
XML100_1215_25,8307,8376,8332,8328
XML100_2312_12,20296,20847,20824,20759
XML100_3364_13,12748,13460,13261,13176
XML100_3343_05,18512,20518,19486,19486
XML100_3276_01,8228,8927,8455,8416
XML100_3112_11,30362,31156,31132,31025
XML100_3262_14,32872,33333,33333,33333
XML100_2112_07,17838,18482,18328,18328
XML100_2146_04,8475,8687,8590,8549
XML100_2152_05,19873,21318,20525,20478
XML100_1236_19,7102,7276,7113,7113
XML100_3374_03,16204,17342,16820,16457
XML100_2143_22,14143,14935,14627,14420
XML100_2332_24,19578,21224,19947,19947
XML100_1242_03,24681,26373,25612,25536
XML100_2145_20,9660,10060,9810,9743
XML100_2146_22,8745,8986,8940,8940
XML100_3141_18,47451,50252,49146,48368
XML100_2343_05,11211,12012,11447,11299
XML100_2354_02,11231,11703,11440,11440
XML100_3343_19,18753,19832,19391,19267
XML100_2256_08,6783,6902,6789,6789
XML100_1111_06,26978,27712,27356,27356
XML100_3315_24,11067,11629,11124,11124
XML100_2231_09,25655,26527,26093,26093
XML100_1331_19,28333,29225,29196,29196
XML100_2133_02,13138,14176,13619,13429
XML100_1274_25,10520,12416,10995,10568
XML100_3145_13,11101,11600,11396,11396
XML100_1266_10,8270,8661,8278,8278
XML100_3323_12,17297,18166,17990,17791
XML100_1372_11,22947,23768,23768,23768
XML100_3174_02,15650,16476,15920,15920
XML100_3122_17,27435,29095,28171,28162
XML100_1315_16,9136,9881,9462,9340
XML100_2232_22,17827,18268,18129,18053
XML100_1355_09,10478,10803,10654,10654
XML100_2152_24,15627,16842,16261,16052
XML100_2375_26,8285,8584,8431,8412
XML100_1366_14,7551,7707,7591,7591
XML100_1123_15,14226,15195,14933,14529
XML100_3163_22,19502,20893,20146,20121
XML100_2316_19,8174,8825,8357,8324
XML100_1126_18,8695,9008,8813,8813
XML100_3171_03,55178,55472,55192,55192
XML100_3212_26,41960,42131,42086,42086
XML100_1276_19,5441,5629,5503,5455
XML100_3366_23,10103,10873,10327,10276
XML100_3174_09,14892,16082,15323,15197
XML100_1214_21,10366,11164,10636,10569
XML100_3246_14,6140,6296,6146,6146
XML100_3313_26,20065,20807,20481,20308
XML100_3233_19,16246,16840,16662,16533
XML100_1162_25,24527,25703,25314,25314
XML100_3354_01,17207,17573,17361,17361
XML100_3123_14,23567,25430,24855,24075
XML100_2345_19,8912,9214,9100,9086
XML100_1344_24,10763,11856,10769,10769
XML100_3152_26,30604,31927,31276,31276
XML100_2123_10,14084,14574,14381,14381
XML100_3364_15,13526,14560,14244,14110
XML100_2145_22,9070,9521,9263,9254
XML100_2133_17,13651,14647,14240,14240
XML100_1212_20,15729,16013,15926,15926
XML100_1366_05,8583,9053,8801,8709
XML100_1174_18,12217,13699,12632,12632
XML100_3241_10,44421,46641,44753,44753
XML100_3313_25,17104,17768,17470,17466
XML100_2243_14,11399,12440,12084,11687
XML100_3272_06,28128,30260,28961,28961
XML100_3152_10,27731,29237,28675,27985
XML100_3361_07,57985,60736,59470,59142
XML100_2333_20,10937,11484,11302,11302
XML100_1316_16,9330,9741,9418,9418
XML100_2144_07,10854,11549,10998,10998
XML100_2171_21,28139,28231,28200,28200
XML100_1256_13,6631,6856,6839,6813
XML100_3144_04,17862,19840,18357,18357
XML100_3121_03,41447,43613,43451,42866
XML100_3323_18,23167,25070,24060,24060
XML100_3174_10,16581,17611,17280,16900
XML100_3213_24,22994,23232,23224,23224
XML100_3373_18,17491,20913,17882,17858
XML100_2275_16,7355,7500,7425,7378
XML100_3254_25,13088,13700,13436,13436
XML100_3152_05,29993,32029,31525,31051
XML100_3164_02,14786,15899,15285,15167
XML100_3343_25,23274,25501,24053,23848
XML100_1376_11,8524,8809,8554,8554
XML100_1256_08,4731,5049,4820,4752
XML100_3245_21,12144,13066,12448,12448
XML100_2312_16,18485,19025,18614,18614
XML100_2174_10,10985,11416,11144,11136
XML100_3135_17,11252,12072,11497,11497
XML100_3316_26,10034,10615,10227,10154
XML100_3215_15,11327,11624,11488,11447
XML100_2165_06,9323,10110,9485,9323
XML100_2351_03,26552,27717,27703,26887
XML100_2323_11,13556,14609,13911,13745
XML100_2246_15,6277,6814,6340,6340
XML100_1351_18,27016,28707,27795,27446
XML100_3171_22,44574,44969,44623,44598
XML100_2346_09,7882,8303,7939,7882
XML100_2123_01,12802,13406,13091,13091
XML100_2265_22,7205,7716,7276,7237
XML100_1156_11,8829,9492,8829,8829
XML100_1322_06,23847,24638,24539,24501
XML100_1142_02,21133,22033,21767,21767
XML100_1366_24,8084,8335,8202,8179
XML100_2172_26,16643,16920,16758,16758
XML100_2153_17,13887,14854,14155,13968
XML100_1333_24,16281,16883,16791,16757
XML100_2353_26,13351,14288,13793,13793
XML100_3244_12,13227,13950,13864,13851
XML100_1155_17,9278,9348,9321,9302
XML100_1121_04,24372,26053,25143,24973
XML100_2344_16,10493,10829,10687,10494
XML100_1222_06,13877,14831,14423,14079
XML100_1112_18,23545,24248,23946,23946
XML100_2211_18,25971,26093,26024,26024
XML100_3254_19,11868,12098,12052,12052
XML100_1335_06,12282,13484,12715,12580
XML100_3131_25,50106,52353,50989,50989
XML100_2161_06,23508,25806,25018,23971
XML100_2313_17,12000,12353,12277,12277
XML100_3363_09,21316,22623,22087,21993
XML100_2323_03,11330,12021,11650,11530
XML100_1361_08,38402,40214,39354,39249
XML100_1145_18,10277,11313,10372,10372
XML100_3262_25,19695,20538,20361,20361
XML100_3355_23,11092,11903,11606,11380
XML100_1231_13,38580,39399,39358,39125
XML100_2133_01,14312,15159,14776,14749
XML100_1144_15,12509,13374,13093,13051
XML100_2123_21,13669,15159,14142,14142
XML100_1243_04,14264,15147,14686,14686
XML100_1122_20,26402,28721,28321,27985
XML100_2111_16,24934,25841,25641,25641
XML100_3124_08,16118,17351,16848,16549
XML100_2223_04,10371,11022,10636,10440
XML100_2264_09,6736,7998,7029,7028
XML100_2321_12,24843,26632,25895,25241
XML100_1174_27,13095,13779,13508,13146
XML100_2315_15,9891,10073,9932,9900
XML100_2172_18,16534,16910,16544,16541
XML100_2166_15,8606,8821,8753,8641
XML100_3132_14,26471,28027,27461,26755
XML100_3353_16,19904,21068,20732,20558
XML100_2123_25,12329,13152,12671,12658
XML100_2354_20,10410,11292,10678,10661
XML100_1372_21,26185,26714,26345,26345
XML100_2123_16,13464,14227,14051,14051
XML100_1243_10,11393,12310,11923,11843
XML100_1225_07,7863,9109,8075,7862
XML100_1352_01,17208,18041,17814,17712
XML100_1344_22,15081,16447,16268,16138
XML100_1244_05,11665,12817,11863,11863
XML100_2326_24,6973,7468,7033,6973
XML100_3352_23,33092,34660,33577,33577
XML100_1133_20,13508,14763,13862,13862
XML100_3243_18,17953,19155,18119,18097
XML100_2135_27,9992,10811,10407,10240
XML100_1276_26,7876,7899,7887,7876
XML100_2232_17,12441,12697,12671,12661
XML100_3272_15,25569,27369,26499,26440
XML100_3275_15,8926,9483,9065,9065
XML100_1171_26,21615,22854,21789,21789
XML100_1351_16,31770,33449,32515,32185
XML100_2373_02,11888,13089,12564,11891
XML100_3254_02,14403,16262,14747,14747
XML100_3235_15,11543,13069,12011,11734
XML100_1115_11,10398,11573,10588,10588
XML100_3276_05,10884,11445,11050,10977
XML100_1354_03,11726,12037,12001,12001
XML100_1373_14,13887,14814,14376,14376
XML100_2244_15,8489,8626,8538,8488
XML100_1222_25,21572,22523,21982,21696
XML100_3342_20,22776,24217,23630,23185
XML100_1132_18,20901,22651,21719,21629
XML100_1362_12,20198,21580,20898,20898
XML100_2243_01,9139,10043,9391,9391
XML100_2166_26,8708,9012,8847,8818
XML100_2221_21,11685,12489,12306,12306
XML100_3215_02,10260,11644,11070,11056
XML100_3245_08,10598,11463,11037,10833
XML100_2371_04,33414,33560,33538,33538
XML100_1334_10,13086,14647,13735,13735
XML100_1323_02,13357,14026,13656,13656
XML100_3144_01,14620,16580,15300,15105
XML100_3253_15,11159,11637,11534,11466
XML100_1164_20,12719,13368,13147,13010
XML100_3161_24,48884,51802,50135,49990
XML100_3151_14,33906,35566,35062,34765
XML100_1376_13,8064,8265,8226,8226
XML100_1221_09,24477,25546,25355,25330
XML100_1114_13,13230,13751,13587,13565
XML100_3366_18,10420,11439,11181,11046
XML100_2335_23,9659,10893,9659,9659
XML100_1343_02,12276,13350,12289,12289
XML100_2275_26,7793,8232,7945,7841
XML100_2354_13,9843,10917,9867,9842
XML100_1274_05,12541,13247,12620,12619
XML100_3136_23,9226,9824,9348,9320
XML100_1175_20,9772,11366,10020,10014
XML100_3243_03,26563,26926,26839,26839
XML100_3352_09,27937,29666,29027,28845
XML100_2331_19,22096,22909,22710,22710
XML100_1224_06,9355,9984,9540,9486
XML100_2311_26,26942,27516,27516,27398
XML100_2324_06,9718,10562,9901,9801
XML100_3263_17,18202,19547,18632,18592
XML100_1174_08,13136,14713,13811,13811
XML100_2126_05,8105,8363,8126,8126
XML100_1272_10,23706,24829,23776,23776
XML100_3355_18,13551,14234,13985,13887
XML100_2132_09,16193,17202,16577,16351
XML100_1274_02,12575,12856,12611,12611
XML100_3321_03,37452,39685,38832,38817
XML100_2273_17,10569,11027,10670,10642
XML100_1225_18,10122,10763,10449,10449
XML100_2252_23,12525,13591,12963,12677
XML100_3141_13,41346,43542,42776,42776
XML100_2121_27,25617,27393,26565,26396
XML100_2374_05,9686,9898,9797,9788
XML100_3155_02,12045,13032,12540,12540
XML100_2154_26,12040,12395,12298,12298
XML100_3163_21,21100,22381,22212,22212
XML100_2223_12,11807,12616,12210,12086
XML100_3111_25,59015,59182,59085,59060
XML100_2344_25,9396,9867,9519,9437
XML100_1215_02,7497,7898,7525,7519
XML100_2125_18,9323,10972,9454,9454
XML100_3353_21,18758,19939,19817,19292
XML100_3176_08,9570,10641,9770,9651
XML100_2324_22,9795,10253,9933,9892
XML100_1331_04,44063,45969,45083,44908
XML100_1271_08,32678,32809,32809,32809
XML100_3276_25,7590,8039,7632,7597
XML100_2262_19,16067,17167,16517,16517
XML100_1235_08,9789,10020,9958,9958
XML100_1346_25,7406,7504,7489,7489
XML100_2114_25,10384,10698,10553,10553
XML100_3221_23,49770,50961,50961,50523
XML100_1366_02,8016,8432,8180,8176
XML100_2351_17,20758,21519,21317,21306
XML100_3221_15,35390,37545,36234,36234
XML100_1152_08,21324,22175,22174,22077
XML100_3245_24,13237,13756,13380,13380
XML100_2162_10,18114,21378,20196,18743
XML100_1263_27,11911,13286,11935,11935
XML100_2115_27,10526,10611,10542,10532
XML100_3116_13,9690,9961,9843,9843
XML100_3121_26,42543,44285,43446,43446
XML100_3355_17,13905,15359,14961,14961
XML100_2254_25,9297,9828,9514,9467
XML100_2374_22,11367,11606,11430,11430
XML100_3171_04,49225,50459,49801,49801
XML100_1271_18,35513,36777,36504,36504
XML100_1252_17,13603,14681,13920,13875
XML100_3326_12,8847,9116,9014,9011
XML100_3136_05,9641,10506,9816,9803
XML100_1255_09,6730,7365,7292,7292
XML100_3165_13,11610,12830,11985,11893
XML100_2256_12,5414,5569,5467,5467
XML100_3163_10,21207,22548,22332,22058
XML100_1112_20,18608,19535,19006,18863
XML100_2124_20,10984,12342,11036,11036
XML100_2331_12,20050,20614,20441,20441
XML100_2175_26,9048,9545,9305,9305
XML100_1172_07,33769,34471,34471,34283
XML100_3114_19,16534,17343,16751,16751
XML100_1164_22,14117,15172,14503,14503
XML100_3354_22,15769,16523,16488,15856
XML100_1126_21,9176,10848,9371,9245
XML100_2313_04,10994,11631,11267,11145
XML100_2354_22,10897,11372,11026,11026
XML100_2226_04,5611,5921,5624,5624
XML100_2316_08,8240,8664,8390,8390
XML100_1311_14,29327,29756,29756,29756
XML100_2222_03,14208,15173,14742,14396
XML100_1225_10,9730,10011,9773,9733
XML100_2376_13,7517,7883,7792,7792
XML100_3221_11,47418,48659,48248,48248
XML100_2152_23,19063,20947,19662,19427
XML100_3175_14,11163,12041,11570,11440
XML100_1372_14,22718,22982,22964,22964
XML100_2244_26,10145,11137,10744,10744
XML100_3336_02,8915,9070,9045,8964
XML100_1146_06,8777,8949,8845,8845
XML100_2152_17,17877,19012,18074,18029
XML100_1124_16,12175,14176,12886,12833
XML100_2342_06,16405,17507,17160,17015
XML100_3326_18,8736,9561,8752,8752
XML100_3361_04,40376,41353,41353,41353
XML100_3155_08,12368,12731,12515,12460
XML100_3115_11,12649,13759,12967,12850
XML100_3273_08,20203,20569,20343,20343
XML100_3156_02,9209,9647,9268,9251
XML100_1371_06,31434,31587,31587,31433
XML100_1373_02,15360,16502,16037,15819
XML100_2171_17,23827,24354,24190,24107
XML100_1135_04,10066,10712,10228,10228
XML100_2124_08,10484,10795,10578,10543
XML100_1152_16,21826,23015,22928,22506
XML100_3244_08,11621,11991,11888,11888
XML100_3242_07,25060,26604,25742,25748
XML100_3325_17,11489,12467,11670,11670
XML100_3312_18,33411,33752,33744,33672
XML100_3142_23,29978,32247,31189,31114
XML100_1146_19,8654,9134,8878,8878
XML100_1275_27,10078,10371,10106,10106
XML100_1134_25,13717,15133,14454,14372
XML100_1255_17,4096,4448,4173,4165
XML100_3342_26,35863,37912,36673,36673
XML100_1334_12,15908,17267,16914,16819
XML100_2261_06,22295,23185,22554,22554
XML100_2314_22,11328,11628,11478,11478
XML100_3213_25,19579,20055,19891,19891
XML100_3152_03,34429,35867,35677,35677
XML100_3224_15,12542,13291,13031,12882
XML100_3335_01,13622,14562,14210,14053
XML100_2326_16,8065,8366,8064,8064
XML100_1364_12,10677,11224,11009,10948
XML100_2171_25,28669,28778,28698,28698
XML100_3333_07,17520,18376,17985,17809
XML100_1323_27,18600,19796,19303,19069
XML100_1121_11,28568,29761,29761,29465
XML100_2166_19,8807,9474,8930,8930
XML100_1323_16,14055,14985,14523,14274
XML100_3241_08,43292,45777,44891,44891
XML100_2346_04,7729,8392,7836,7836
XML100_3324_13,12994,14310,13609,13433
XML100_1115_26,13313,14092,13548,13485
XML100_2345_09,9095,9563,9236,9236
XML100_1153_02,14881,16528,15577,15459
XML100_3142_18,33600,36064,35158,34735
XML100_3116_25,9486,9939,9639,9639
XML100_3212_21,30628,31044,30764,30726
XML100_2234_13,10113,10413,10245,10183
XML100_2352_18,17322,18942,17824,17824
XML100_1342_08,18640,19758,19346,19346
XML100_1171_24,45901,46285,46170,46080
XML100_1373_06,17453,18202,17745,17710
XML100_1315_13,9317,9919,9542,9386
XML100_3125_17,13702,14801,14112,14112
XML100_3112_19,34334,34927,34644,34644
XML100_3252_10,27036,28471,28441,28394
XML100_3121_17,50048,51722,51441,51441
XML100_3213_19,19770,20921,20225,20185
XML100_1344_11,12277,13091,12480,12394
XML100_1322_01,20661,21977,21710,21057
XML100_1371_05,61947,61945,61944,61944
XML100_1351_22,27625,28667,28410,28410
XML100_3234_01,9736,10276,10036,10028
XML100_3373_23,18137,18616,18596,18450
XML100_2215_14,7353,7528,7362,7362
XML100_2212_12,13776,14435,14006,14006
XML100_3341_05,47927,50544,49429,49429
XML100_2116_09,8711,8890,8749,8749
XML100_3276_23,10709,11091,10836,10832
XML100_3144_19,14882,15856,15460,15460
XML100_1341_04,31994,33617,32980,32892
XML100_3226_13,7914,8024,7969,7936
XML100_1354_18,12788,13730,13290,13252
XML100_3216_03,6806,7090,6859,6859
XML100_2316_18,7543,7762,7579,7569
XML100_1145_08,9684,10714,9815,9763
XML100_1334_26,13710,14607,14067,14067
XML100_1136_26,7790,8149,8137,7859
XML100_1331_01,39322,40902,39899,39899
XML100_3222_10,26443,28062,27534,27534
XML100_3136_11,10982,11747,11315,11243
XML100_1321_11,20746,23194,21744,21626
XML100_3371_09,48653,49057,49057,49057
XML100_2314_03,10301,10773,10481,10473
XML100_3241_22,49465,50887,50246,50246
XML100_1133_03,15634,17070,16262,16234
XML100_3155_05,14327,14938,14562,14562
XML100_3213_26,20034,20558,20292,20095
XML100_1234_08,12115,12866,12769,12621
XML100_1363_12,16872,17204,17028,16899
XML100_3136_19,9493,9826,9538,9538
XML100_3165_26,14166,15227,14680,14680
XML100_1162_15,16200,17667,16891,16540
XML100_3156_22,9193,9630,9236,9236
XML100_1314_25,14392,15282,14735,14735
XML100_3156_03,9852,10544,10088,10088
XML100_3216_24,6869,7349,7052,7052
XML100_3213_17,20732,21228,20947,20947
XML100_3263_01,22647,24224,23142,23136
XML100_2335_20,8839,9322,9080,9080
XML100_1336_09,8568,8684,8594,8568
XML100_3346_03,8182,8673,8586,8321
XML100_1253_05,10263,10821,10659,10454
XML100_3322_11,29384,30382,30382,30382
XML100_2313_10,12506,13617,13140,13032
XML100_1253_13,17637,18280,17914,17914
XML100_1155_11,9562,10272,9768,9768
XML100_2341_12,24071,25214,24628,24611
XML100_1213_09,12724,13634,13600,13555
XML100_3124_05,16337,18088,16818,16818
XML100_3134_21,16760,18824,17589,17589
XML100_1322_09,20516,22481,21789,21494
XML100_2175_18,9480,10386,9526,9480
XML100_1222_09,28522,29398,28897,28897
XML100_1235_03,9786,10331,9852,9852
XML100_3222_19,29536,31644,30744,30647
XML100_2213_10,10277,10887,10379,10329
XML100_3241_24,46869,49303,48957,48359
XML100_3156_19,9334,9723,9614,9614
