Model,Type,Train Init Temp,Train Steps,Train Dimension,Train Demand,Train Scheduler,Train Clustering,Dimension,Step,Scheduler,Clustering,Initial Temp,Initial Cost,Final Cost,Gain
/Users/jandretti/Documents/PhD/NSA_CVRP_PPO/wandb/Neural_Simulated_Annealing/models/20250206_141623_eygjgypl/HP.yaml,Trained,1,100,20,True,step,False,20,1000,cyclic,True,1000,10.80878448486328,5.410638332366943,5.398146152496338
/Users/jandretti/Documents/PhD/NSA_CVRP_PPO/wandb/Neural_Simulated_Annealing/models/20250206_141623_eygjgypl/HP.yaml,Trained,1,100,20,True,step,False,20,1000,lam,True,1000,10.80878448486328,5.46622371673584,5.342560768127441
/Users/jandretti/Documents/PhD/NSA_CVRP_PPO/wandb/Neural_Simulated_Annealing/models/20250206_141623_eygjgypl/HP.yaml,Trained,1,100,20,True,step,False,20,1000,step,True,1000,10.80878448486328,5.921011447906494,4.887773036956787
/Users/jandretti/Documents/PhD/NSA_CVRP_PPO/wandb/Neural_Simulated_Annealing/models/20250206_141623_eygjgypl/HP.yaml,Trained,1,100,20,True,step,False,20,4000,cyclic,True,1000,10.80878448486328,5.368475914001465,5.440308570861816
/Users/jandretti/Documents/PhD/NSA_CVRP_PPO/wandb/Neural_Simulated_Annealing/models/20250206_141623_eygjgypl/HP.yaml,Trained,1,100,20,True,step,False,20,4000,lam,True,1000,10.80878448486328,5.250452041625977,5.558332443237305
/Users/jandretti/Documents/PhD/NSA_CVRP_PPO/wandb/Neural_Simulated_Annealing/models/20250206_141623_eygjgypl/HP.yaml,Trained,1,100,20,True,step,False,20,4000,step,True,1000,10.80878448486328,5.533868312835693,5.274916172027588
/Users/jandretti/Documents/PhD/NSA_CVRP_PPO/wandb/Neural_Simulated_Annealing/models/20250206_141623_eygjgypl/HP.yaml,Trained,1,100,20,True,step,False,20,100,cyclic,False,1,12.31783676147461,7.2803635597229,5.037473201751709
/Users/jandretti/Documents/PhD/NSA_CVRP_PPO/wandb/Neural_Simulated_Annealing/models/20250206_141623_eygjgypl/HP.yaml,Trained,1,100,20,True,step,False,20,100,lam,False,1,12.31783676147461,7.35288143157959,4.9649553298950195
/Users/jandretti/Documents/PhD/NSA_CVRP_PPO/wandb/Neural_Simulated_Annealing/models/20250206_141623_eygjgypl/HP.yaml,Trained,1,100,20,True,step,False,20,100,step,False,1,12.31783676147461,7.382474899291992,4.935361862182617
/Users/jandretti/Documents/PhD/NSA_CVRP_PPO/wandb/Neural_Simulated_Annealing/models/20250206_141623_eygjgypl/HP.yaml,Trained,1,100,20,True,step,False,20,1000,cyclic,False,1,12.31783676147461,7.041424751281738,5.276412010192871
/Users/jandretti/Documents/PhD/NSA_CVRP_PPO/wandb/Neural_Simulated_Annealing/models/20250206_141623_eygjgypl/HP.yaml,Trained,1,100,20,True,step,False,20,1000,lam,False,1,12.31783676147461,6.904599666595459,5.41323709487915
/Users/jandretti/Documents/PhD/NSA_CVRP_PPO/wandb/Neural_Simulated_Annealing/models/20250206_141623_eygjgypl/HP.yaml,Trained,1,100,20,True,step,False,20,1000,step,False,1,12.31783676147461,6.813247203826904,5.504589557647705
/Users/jandretti/Documents/PhD/NSA_CVRP_PPO/wandb/Neural_Simulated_Annealing/models/20250206_141623_eygjgypl/HP.yaml,Trained,1,100,20,True,step,False,20,4000,cyclic,False,1,12.31783676147461,6.79071044921875,5.527126312255859
/Users/jandretti/Documents/PhD/NSA_CVRP_PPO/wandb/Neural_Simulated_Annealing/models/20250206_141623_eygjgypl/HP.yaml,Trained,1,100,20,True,step,False,20,4000,lam,False,1,12.31783676147461,6.648058891296387,5.669777870178223
/Users/jandretti/Documents/PhD/NSA_CVRP_PPO/wandb/Neural_Simulated_Annealing/models/20250206_141623_eygjgypl/HP.yaml,Trained,1,100,20,True,step,False,20,4000,step,False,1,12.31783676147461,6.6320977210998535,5.685739040374756
/Users/jandretti/Documents/PhD/NSA_CVRP_PPO/wandb/Neural_Simulated_Annealing/models/20250206_141623_eygjgypl/HP.yaml,Trained,1,100,20,True,step,False,20,100,cyclic,False,100,12.31783676147461,7.583334445953369,4.73450231552124
/Users/jandretti/Documents/PhD/NSA_CVRP_PPO/wandb/Neural_Simulated_Annealing/models/20250206_141623_eygjgypl/HP.yaml,Trained,1,100,20,True,step,False,20,100,lam,False,100,12.31783676147461,7.258723258972168,5.059113502502441
/Users/jandretti/Documents/PhD/NSA_CVRP_PPO/wandb/Neural_Simulated_Annealing/models/20250206_141623_eygjgypl/HP.yaml,Trained,1,100,20,True,step,False,20,100,step,False,100,12.31783676147461,7.815797328948975,4.502039432525635
/Users/jandretti/Documents/PhD/NSA_CVRP_PPO/wandb/Neural_Simulated_Annealing/models/20250206_141623_eygjgypl/HP.yaml,Trained,1,100,20,True,step,False,20,1000,cyclic,False,100,12.31783676147461,6.837384223937988,5.480452537536621
