Model,Type,Train Init Temp,Train Steps,Train Dimension,Train Demand,Train Scheduler,Train Clustering,Dimension,Step,Scheduler,Clustering,Initial Temp,Initial Cost,Final Cost,Gain
20_1000_cyclic_False_100,Baseline,/,/,/,/,/,/,20,1000,cyclic,False,100,12.20058250427246,6.999277114868164,5.201305389404297
20_1000_lam_False_100,Baseline,/,/,/,/,/,/,20,1000,lam,False,100,12.20058250427246,7.460437774658203,4.740144729614258
20_1000_step_False_100,Baseline,/,/,/,/,/,/,20,1000,step,False,100,12.20058250427246,8.511521339416504,3.689061164855957
20_4000_cyclic_False_100,Baseline,/,/,/,/,/,/,20,4000,cyclic,False,100,12.20058250427246,6.759515285491943,5.441067218780518
20_4000_lam_False_100,Baseline,/,/,/,/,/,/,20,4000,lam,False,100,12.20058250427246,6.796267032623291,5.40431547164917
20_4000_step_False_100,Baseline,/,/,/,/,/,/,20,4000,step,False,100,12.20058250427246,7.323392391204834,4.877190113067627
20_100_cyclic_False_1000,Baseline,/,/,/,/,/,/,20,100,cyclic,False,1000,12.20058250427246,10.298434257507324,1.9021482467651367
20_100_lam_False_1000,Baseline,/,/,/,/,/,/,20,100,lam,False,1000,12.20058250427246,9.63880729675293,2.5617752075195312
20_100_step_False_1000,Baseline,/,/,/,/,/,/,20,100,step,False,1000,12.20058250427246,10.275371551513672,1.925210952758789
20_1000_cyclic_False_1000,Baseline,/,/,/,/,/,/,20,1000,cyclic,False,1000,12.20058250427246,7.166344165802002,5.034238338470459
20_1000_lam_False_1000,Baseline,/,/,/,/,/,/,20,1000,lam,False,1000,12.20058250427246,7.57754373550415,4.6230387687683105
20_1000_step_False_1000,Baseline,/,/,/,/,/,/,20,1000,step,False,1000,12.20058250427246,8.548908233642578,3.651674270629883
20_4000_cyclic_False_1000,Baseline,/,/,/,/,/,/,20,4000,cyclic,False,1000,12.20058250427246,6.800441265106201,5.40014123916626
20_4000_lam_False_1000,Baseline,/,/,/,/,/,/,20,4000,lam,False,1000,12.20058250427246,6.889211654663086,5.311370849609375
20_4000_step_False_1000,Baseline,/,/,/,/,/,/,20,4000,step,False,1000,12.20058250427246,7.326027870178223,4.874554634094238
/,OR_TOOLS 1 sec,/,/,/,/,/,/,50,/,/,True,/,25.416662216186523,7.797765731811523,17.618896484375
50_100_cyclic_True_1,Baseline,/,/,/,/,/,/,50,100,cyclic,True,1,25.416662216186523,17.9975528717041,7.419109344482422
50_100_lam_True_1,Baseline,/,/,/,/,/,/,50,100,lam,True,1,25.416662216186523,17.928512573242188,7.488149642944336
50_100_step_True_1,Baseline,/,/,/,/,/,/,50,100,step,True,1,25.416662216186523,19.09105110168457,6.325611114501953
50_1000_cyclic_True_1,Baseline,/,/,/,/,/,/,50,1000,cyclic,True,1,25.416662216186523,11.44324016571045,13.973422050476074
50_1000_lam_True_1,Baseline,/,/,/,/,/,/,50,1000,lam,True,1,25.416662216186523,12.001049995422363,13.41561222076416
50_1000_step_True_1,Baseline,/,/,/,/,/,/,50,1000,step,True,1,25.416662216186523,13.842127799987791,11.57453441619873
